CustomerID,CustomerName,Segment,Region,Country,JoinDate,CreditLimit,AccountManager
CUST-00001,Global Corp,SMB,Central,USA,2022-06-30,316031.46,AM-014
CUST-00002,Peak Ltd,Consumer,West,USA,2022-10-25,464632.08,AM-002
CUST-00003,Star LLC,Government,North,USA,2022-10-19,435063.63,AM-005
CUST-00004,Global Partners,Government,North,USA,2023-04-15,422078.21,AM-001
CUST-00005,Global Systems,SMB,East,USA,2022-03-08,24832.95,AM-020
CUST-00006,Beta Corp,Enterprise,Central,USA,2022-09-20,295723.61,AM-009
CUST-00007,Acme Inc,SMB,Central,USA,2023-07-22,233791.76,AM-015
CUST-00008,Star Ltd,Government,West,USA,2023-01-29,277128.99,AM-006
CUST-00009,Core Systems,Government,South,USA,2022-04-18,5748.57,AM-008
CUST-00010,Acme Partners,SMB,West,USA,2022-10-07,248619.31,AM-003
CUST-00011,Star Partners,Government,East,USA,2023-03-21,478271.65,AM-003
CUST-00012,Beta Ltd,Consumer,North,USA,2022-04-28,220339.28,AM-013
CUST-00013,Apex Systems,Enterprise,Central,USA,2023-11-26,186557.34,AM-014
CUST-00014,Peak Corp,SMB,West,USA,2023-01-07,491805.41,AM-005
CUST-00015,Prime Ventures,SMB,North,USA,2023-08-19,321230.33,AM-016
CUST-00016,Alpha Group,Government,Central,USA,2022-01-11,196084.88,AM-004
CUST-00017,Prime Ltd,Enterprise,West,USA,2022-05-30,266360.34,AM-014
CUST-00018,Alpha Inc,Enterprise,North,USA,2022-10-30,165203.44,AM-001
CUST-00019,Global Ventures,Enterprise,South,USA,2023-12-26,312026.01,AM-019
CUST-00020,Global Solutions,SMB,West,USA,2022-05-23,347493.08,AM-019
CUST-00021,Alpha Systems,SMB,East,USA,2023-11-23,303380.13,AM-003
CUST-00022,Peak Corp,Government,South,USA,2022-05-10,154963.28,AM-017
CUST-00023,Apex Partners,Consumer,North,USA,2022-06-30,412159.09,AM-005
CUST-00024,Global Ventures,Consumer,Central,USA,2023-04-19,434476.85,AM-004
CUST-00025,Global Partners,SMB,East,USA,2023-06-14,349027.19,AM-005
CUST-00026,Peak Systems,Enterprise,South,USA,2023-06-30,45378.51,AM-020
CUST-00027,Alpha Systems,SMB,Central,USA,2023-02-02,161968.86,AM-010
CUST-00028,Star Inc,SMB,North,USA,2023-08-20,257968.27,AM-014
CUST-00029,Acme Ltd,Government,Central,USA,2023-02-05,447346.15,AM-004
CUST-00030,Peak Inc,SMB,Central,USA,2022-08-30,145104.39,AM-014
CUST-00031,Star Inc,Government,Central,USA,2023-01-02,156699.4,AM-008
CUST-00032,Beta Group,Consumer,North,USA,2023-05-07,51514.36,AM-005
CUST-00033,Apex Solutions,Government,East,USA,2023-06-05,354703.84,AM-004
CUST-00034,Prime Solutions,SMB,South,USA,2023-02-10,293305.74,AM-015
CUST-00035,Alpha Ltd,Government,West,USA,2022-12-07,468774.01,AM-010
CUST-00036,Peak Inc,SMB,North,USA,2022-07-22,494448.6,AM-002
CUST-00037,Elite LLC,Consumer,East,USA,2023-02-21,53835.4,AM-011
CUST-00038,Core Ltd,Consumer,South,USA,2023-08-22,145962.18,AM-002
CUST-00039,Prime Industries,Government,East,USA,2023-08-26,116052.57,AM-012
CUST-00040,Beta Group,SMB,West,USA,2022-11-01,312229.2,AM-001
CUST-00041,Core Ltd,Consumer,Central,USA,2022-09-18,115844.46,AM-006
CUST-00042,Alpha Corp,SMB,East,USA,2023-07-18,467880.76,AM-017
CUST-00043,Star Corp,Enterprise,South,USA,2023-08-19,325584.8,AM-011
CUST-00044,Alpha Ventures,Enterprise,West,USA,2023-07-25,247349.61,AM-018
CUST-00045,Peak Inc,Enterprise,North,USA,2022-01-23,335921.63,AM-015
CUST-00046,Star Systems,Enterprise,West,USA,2022-09-18,491674.44,AM-016
CUST-00047,Alpha Ltd,Enterprise,East,USA,2022-01-24,229448.76,AM-009
CUST-00048,Apex Ventures,Government,East,USA,2022-10-19,172373.14,AM-017
CUST-00049,Apex LLC,Government,South,USA,2023-06-25,168768.08,AM-009
CUST-00050,Peak LLC,Consumer,East,USA,2023-05-30,131219.18,AM-013
CUST-00051,Star Partners,Consumer,East,USA,2022-12-10,229267.91,AM-003
CUST-00052,Core Group,Enterprise,South,USA,2023-01-29,336403.53,AM-011
CUST-00053,Elite Ventures,Enterprise,East,USA,2023-02-10,476309.99,AM-019
CUST-00054,Elite Ventures,Consumer,North,USA,2023-09-14,156032.45,AM-020
CUST-00055,Alpha Ltd,Consumer,Central,USA,2023-12-08,180733.48,AM-016
CUST-00056,Prime Partners,Consumer,North,USA,2023-01-25,483371.27,AM-007
CUST-00057,Apex Inc,Enterprise,North,USA,2022-04-06,34311.87,AM-010
CUST-00058,Acme Inc,Government,North,USA,2023-01-05,493055.25,AM-001
CUST-00059,Prime LLC,Enterprise,Central,USA,2023-06-08,180597.97,AM-006
CUST-00060,Beta Systems,Enterprise,East,USA,2022-06-15,309397.96,AM-018
CUST-00061,Global Ventures,Enterprise,Central,USA,2022-07-18,155133.26,AM-019
CUST-00062,Beta Systems,SMB,West,USA,2022-08-24,208650.83,AM-005
CUST-00063,Apex Partners,Enterprise,West,USA,2023-05-15,113528.58,AM-007
CUST-00064,Peak Partners,Government,South,USA,2023-10-16,80600.08,AM-002
CUST-00065,Acme Inc,Consumer,North,USA,2023-11-18,486501.01,AM-008
CUST-00066,Core Group,SMB,North,USA,2022-07-14,303194.64,AM-017
CUST-00067,Alpha Inc,Government,South,USA,2022-02-28,46169.2,AM-020
CUST-00068,Peak Ventures,SMB,West,USA,2023-06-14,149599.94,AM-006
CUST-00069,Prime Industries,Enterprise,East,USA,2023-08-06,405703.47,AM-005
CUST-00070,Acme Group,Consumer,Central,USA,2022-12-04,253670.22,AM-016
CUST-00071,Core LLC,Enterprise,East,USA,2022-11-22,359071.17,AM-007
CUST-00072,Core Inc,Consumer,South,USA,2023-08-17,45980.19,AM-006
CUST-00073,Peak Partners,Government,West,USA,2023-12-30,196388.23,AM-003
CUST-00074,Elite Ltd,Consumer,West,USA,2022-01-11,451515.57,AM-007
CUST-00075,Prime Solutions,Consumer,North,USA,2023-02-11,238604.01,AM-017
CUST-00076,Prime Partners,Consumer,North,USA,2023-06-08,130031.74,AM-015
CUST-00077,Core Corp,Enterprise,North,USA,2022-10-15,24836.68,AM-010
CUST-00078,Elite Solutions,Enterprise,East,USA,2022-08-26,262930.9,AM-019
CUST-00079,Apex Corp,SMB,Central,USA,2022-06-14,352165.92,AM-008
CUST-00080,Global Solutions,SMB,South,USA,2023-12-19,223684.54,AM-001
CUST-00081,Peak Ltd,SMB,West,USA,2022-11-04,70574.43,AM-013
